,결과,득점_득점,공격종합성공률,후위성공률,퀵오픈성공률,서브성공률,디그성공률,세트성공률,리시브성공률,블로킹성공률,팀명_KB손해보험,팀명_OK금융그룹,팀명_대한항공,팀명_삼성화재,팀명_우리카드,팀명_한국전력,팀명_현대캐피탈,상대팀_KB손해보험,상대팀_OK금융그룹,상대팀_대한항공,상대팀_삼성화재,상대팀_우리카드,상대팀_한국전력,상대팀_현대캐피탈
1168,1,45,0.5689655172413793,0.7058823529411765,0.631578947368421,0.01694915254237288,0.65,0.5192307692307693,0.5306122448979592,0.4782608695652174,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1169,1,67,0.5394736842105263,0.6,0.6111111111111112,0.11224489795918367,0.8461538461538461,0.5256410256410257,0.4098360655737705,0.32608695652173914,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1170,1,55,0.6363636363636364,0.7272727272727273,0.6666666666666666,0.1,0.6470588235294118,0.603448275862069,0.5217391304347826,0.40625,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1171,0,81,0.4765625,0.4375,0.5333333333333333,0.07079646017699115,0.6333333333333333,0.4270833333333333,0.4423076923076923,0.20689655172413793,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1172,0,68,0.4732142857142857,0.48148148148148145,0.5217391304347826,0.036585365853658534,0.6808510638297872,0.46551724137931033,0.410958904109589,0.21052631578947367,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1173,1,78,0.5277777777777778,0.5925925925925926,0.5769230769230769,0.06542056074766354,0.8181818181818182,0.49107142857142855,0.5324675324675324,0.20588235294117646,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1174,1,62,0.6133333333333333,0.5,0.8333333333333334,0.07894736842105263,0.7741935483870968,0.6301369863013698,0.5,0.22727272727272727,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1175,1,84,0.5121951219512195,0.4583333333333333,0.6428571428571429,0.06896551724137931,0.7321428571428571,0.51,0.4069767441860465,0.19696969696969696,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1176,0,74,0.46218487394957986,0.41379310344827586,0.5769230769230769,0.041666666666666664,0.7692307692307693,0.4260869565217391,0.37894736842105264,0.2542372881355932,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1177,1,75,0.5384615384615384,0.5,0.8095238095238095,0.08247422680412371,0.7608695652173914,0.5263157894736842,0.4305555555555556,0.23404255319148937,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1178,0,62,0.5148514851485149,0.5454545454545454,0.6666666666666666,0.06593406593406594,0.8181818181818182,0.48863636363636365,0.40540540540540543,0.08163265306122448,0,0,0,0,0,0,1,0,0,1,0,0,0,0
